fees,vsize
2264,1129
1356,113
1961,166
400,142
330,142
419,144
4010,223
1142,110
3516,277
1607,134
541,177
423,142
1323,144
2158,164
2148,179
336,144
336,144
1735,144
1711,142
1537,113
1026,512
1711,142
71600,179
3503,277
2255,204
1611,177
541,179
2443,224
990,122
2634,208
2964,246
1920,192
10540,338
2316,212
369,138
1711,142
1356,113
1699,141
1122,340
1464,122
678,223
3549,273
513,222
1711,142
409,177
5859,189
4966,413
1711,142
330,142
1699,141
143,142
2094,224
700,208
336,144
1711,142
1711,142
2266,205
2160,144
2211,168
2254,296
3327,505
330,142
327,141
2075,225
2531,141
7266,7193
1815,144
1777,141
18908,1580
2266,205
1395,153
895,179
336,144
330,142
327,141
1735,144
1711,142
1699,141
1699,141
336,144
3207,142
1692,141
1790,142
664,166
678,223
423,142
2358,189
998,111
2508,208
2646,210
2046,223
1030,206
330,111
1711,142
1537,110
2266,205
1699,141
1699,141
1735,144
6370,181
3324,276
1711,142
1305,142
5700,189
1665,331
3516,278
2943,246
788,110
1735,144
3222,3189
1728,144
2838,257
1305,142
998,111
199,192
6860,189
1711,142
3235,246
540,181
1305,142
336,144
2205,208
1198,141
531,209
25024,782
5247,347
1537,111
1735,144
2304,192
1020,337
513,223
330,133
770,111
783,144
524,211
1512,505
2919,1317
1146,413
2820,220
369,181
1735,144
1711,142
3389,223
3930,262
419,141
9510,518
2862,176
1537,111
2185,166
1790,142
1976,211
1230,144
678,222
419,144
400,153
2502,181
5409,438
327,141
1320,110
1698,142
1323,144
1237,209
1410,280
1699,141
327,141
2170,2100
1571,352
1699,141
1735,144
1735,144
1704,142
1728,144
1356,113
998,111
414,178
143,142
2441,189
426,142
2538,111
11220,110
1128,189
334,142
1704,142
728,144
2669,223
355,153
11130,370
1711,142
382,190
336,111
4280,189
330,142
3450,178
1704,142
4897,347
1125,142
1699,141
998,111
330,142
398,111
839,136
353,111
4566,318
6860,191
3802,208
5597,348
2721,179
2185,166
2634,209
1236,413
515,223
1699,141
5423,1802
336,144
9793,348
1987,111
2988,249
1320,110
24879,2079
4235,505
1711,142
1711,142
5796,330
1790,142
2300,447
3030,303
1344,189
1732,279
694,199
423,142
1711,142
2185,166
4541,345
2172,180
8040,665
1305,142
1699,141
860,372
531,208
